u,i,ts,label,idx
0,1810,1695113531.0,500000000000000000,1
0,1811,1695113543.0,0,2
1,1812,1695113411.0,11732994,3
2,1813,1695113567.0,0,4
3,1814,1695113567.0,0,5
4,1815,1695113567.0,0,6
4,1816,1695113543.0,0,7
5,1817,1695113567.0,50000000000000000,8
6,1818,1695113339.0,982290000000000,9
7,1810,1695113567.0,0,10
8,1810,1695113507.0,100000000000000000,11
8,1811,1695113519.0,0,12
9,1817,1695113459.0,0,13
10,1817,1695113567.0,0,14
11,1817,1695113567.0,0,15
12,1819,1695113411.0,0,16
12,1820,1695113555.0,0,17
13,1821,1695113375.0,0,18
14,1822,1695113435.0,0,19
15,1812,1695113375.0,1520130,20
16,1817,1695113567.0,0,21
17,1823,1695113351.0,0,22
18,1812,1695113375.0,6615810,23
19,1810,1695113459.0,1120000000000000000,24
19,1811,1695113471.0,0,25
20,1824,1695113567.0,0,26
21,1825,1695113567.0,0,27
22,1826,1695113567.0,12336,28
23,1827,1695113567.0,0,29
24,1828,1695113567.0,0,30
24,1827,1695113411.0,0,31
24,1829,1695113471.0,0,32
24,1830,1695113375.0,0,33
25,1831,1695113567.0,0,34
26,1832,1695113567.0,1229000000000000,35
27,1833,1695113567.0,1884670712400000000,36
28,1834,1695113567.0,1620000000000000,37
29,1835,1695113567.0,10000000000000000,38
30,1836,1695113567.0,4065545000000000,39
31,1837,1695113567.0,0,40
32,1838,1695113567.0,1403226794626440000,41
33,1839,1695113495.0,20945800000000000,42
34,1825,1695113567.0,0,43
35,1825,1695113567.0,0,44
36,1825,1695113567.0,0,45
37,1825,1695113567.0,0,46
38,1825,1695113567.0,0,47
39,1825,1695113567.0,0,48
40,1825,1695113567.0,0,49
41,1840,1695113567.0,24162418175341000,50
42,1841,1695113531.0,31539718942129400,51
43,1842,1695113567.0,0,52
44,1843,1695113567.0,65000000000000000,53
45,1844,1695113567.0,0,54
46,1845,1695113567.0,398800000000000000,55
46,1846,1695113351.0,670506890000000000,56
47,1847,1695113567.0,13470000000000000,57
47,1824,1695113339.0,0,58
47,1848,1695113531.0,0,59
47,1849,1695113471.0,79470000000000000,60
47,1850,1695113459.0,12470000000000000,61
47,1851,1695113459.0,18225400000000000,62
47,1852,1695113447.0,0,63
47,1853,1695113447.0,520265510000000000,64
47,1854,1695113435.0,0,65
47,1855,1695113435.0,76600520000000000,66
47,1856,1695113435.0,0,67
47,1857,1695113423.0,17442010000000000,68
47,1858,1695113387.0,23545900000000000,69
47,1859,1695113375.0,32070000000000000,70
47,1860,1695113375.0,29470000000000000,71
47,1861,1695113351.0,9422600000000000,72
47,1862,1695113351.0,289470000000000000,73
48,1863,1695113567.0,0,74
49,1864,1695113411.0,6230796014740957,75
50,1865,1695113567.0,79470000000000000,76
50,1866,1695113543.0,9318600000000000,77
50,1867,1695113531.0,2875470000000000000,78
50,1868,1695113519.0,60470000000000000,79
50,1869,1695113507.0,17925000000000000,80
50,1870,1695113495.0,10714410000000000,81
50,1871,1695113483.0,345936700000000000,82
50,1872,1695113471.0,10545000000000000,83
50,1873,1695113459.0,306470000000000000,84
50,1874,1695113447.0,1016152300000000000,85
50,1875,1695113435.0,308722460000000000,86
50,1876,1695113435.0,11557900000000000,87
50,1877,1695113423.0,19999470000000000000,88
50,1878,1695113387.0,63320000000000000,89
50,1879,1695113375.0,139470000000000000,90
50,1880,1695113351.0,9270000000000000,91
50,1881,1695113351.0,65800390000000000,92
51,1882,1695113567.0,23970000000000000,93
51,1824,1695113339.0,0,94
51,1883,1695113543.0,0,95
51,1884,1695113507.0,0,96
51,1885,1695113507.0,0,97
51,1886,1695113495.0,0,98
51,1887,1695113495.0,0,99
51,1888,1695113495.0,30309680000000000,100
51,1889,1695113483.0,66970000000000000,101
51,1890,1695113471.0,413955100000000000,102
51,1891,1695113459.0,64470000000000000,103
51,1892,1695113459.0,305009860000000000,104
51,1893,1695113435.0,0,105
51,1894,1695113435.0,9270000000000000,106
51,1895,1695113435.0,0,107
51,1896,1695113423.0,17750000000000000,108
51,1897,1695113387.0,18112520000000000,109
51,1898,1695113375.0,0,110
51,1899,1695113375.0,11657800000000000,111
51,1900,1695113375.0,9322210000000000,112
51,1901,1695113375.0,0,113
51,1902,1695113351.0,19020000000000000,114
51,1903,1695113351.0,0,115
51,1904,1695113339.0,0,116
52,1905,1695113567.0,49470000000000000,117
52,1824,1695113387.0,0,118
52,1906,1695113555.0,61720000000000000,119
52,1907,1695113543.0,9270000000000000,120
52,1908,1695113531.0,42626800000000000,121
52,1909,1695113519.0,315122440000000000,122
52,1910,1695113507.0,15969170000000000,123
52,1911,1695113495.0,2377339450000000000,124
52,1912,1695113483.0,31381450000000000,125
52,1913,1695113447.0,221548450000000000,126
52,1914,1695113435.0,18470000000000000,127
52,1915,1695113435.0,271756810000000000,128
52,1916,1695113423.0,299470000000000000,129
52,1917,1695113387.0,151617700000000000,130
52,1918,1695113351.0,11331680000000000,131
52,1919,1695113351.0,11615300000000000,132
52,1920,1695113339.0,17935270000000000,133
53,1824,1695113567.0,0,134
54,1903,1695113567.0,0,135
55,1824,1695113567.0,0,136
56,1824,1695113567.0,0,137
57,1824,1695113567.0,0,138
58,1824,1695113567.0,0,139
59,1921,1695113567.0,12350367971000,140
60,1922,1695113567.0,89060253132125602,141
61,1923,1695113567.0,1699386590000000000,142
62,1924,1695113339.0,0,143
63,1824,1695113567.0,0,144
64,1925,1695113567.0,0,145
65,1926,1695113339.0,0,146
66,1824,1695113387.0,0,147
67,1927,1695113567.0,600745000000000003,148
67,1928,1695113471.0,199801000000000051,149
67,1929,1695113435.0,783801000000000070,150
67,1930,1695113423.0,32874000000000035,151
67,1931,1695113411.0,299700000000000991,152
67,1932,1695113399.0,162646000000000000,153
67,1933,1695113339.0,197600000000000118,154
68,1934,1695113567.0,0,155
69,1935,1695113339.0,0,156
70,1936,1695113567.0,511700000000000000,157
70,1937,1695113567.0,7554985610000000000,158
70,1938,1695113543.0,649140000000000000,159
70,1939,1695113531.0,915069000000000000,160
70,1940,1695113531.0,4000000000000000000,161
70,1941,1695113531.0,720000000000000000,162
70,1942,1695113531.0,7456548650000000000,163
70,1943,1695113531.0,3620000000000000000,164
70,1944,1695113507.0,1625570000000000000,165
70,1945,1695113495.0,7315484000000000000,166
70,1946,1695113495.0,930000000000000000,167
70,1947,1695113483.0,509000000000000000,168
70,1948,1695113483.0,1840000000000000000,169
70,1949,1695113459.0,10804283260000000000,170
70,1950,1695113447.0,680000000000000000,171
70,1951,1695113435.0,1342003510000000000,172
70,1952,1695113435.0,7245265400000000000,173
70,1953,1695113435.0,1313648070000000000,174
70,1954,1695113423.0,758570000000000000,175
70,1955,1695113411.0,2264570000000000000,176
70,1956,1695113411.0,1980000000000000000,177
70,1957,1695113399.0,2049569990000000000,178
70,1958,1695113387.0,2329000000000000000,179
70,1959,1695113387.0,2951630000000000000,180
70,1960,1695113387.0,6700000000000000000,181
70,1961,1695113375.0,1159419700000000000,182
70,1962,1695113375.0,7103165410000000000,183
70,1963,1695113375.0,1639639320000000000,184
70,1964,1695113375.0,1051200000000000000,185
70,1965,1695113375.0,6510000000000000000,186
70,1966,1695113375.0,2438772000000000000,187
70,1967,1695113351.0,857740000000000000,188
70,1968,1695113351.0,1420000000000000000,189
70,1969,1695113351.0,969870000000000000,190
70,1970,1695113339.0,10305000000000000000,191
70,1971,1695113339.0,1438200520000000000,192
70,1972,1695113339.0,1270000000000000000,193
70,1973,1695113339.0,729570000000000000,194
71,1974,1695113567.0,49570000000000000,195
71,1975,1695113555.0,145111160000000000,196
71,1976,1695113555.0,23950590000000000,197
71,1977,1695113543.0,49570000000000000,198
71,1978,1695113531.0,93121590000000000,199
71,1979,1695113531.0,125070000000000000,200
71,1980,1695113531.0,85000000000000000,201
71,1981,1695113531.0,20004290000000000,202
71,1982,1695113519.0,400000000000000000,203
71,1983,1695113519.0,49570000000000000,204
71,1984,1695113507.0,17855950000000000,205
71,1985,1695113507.0,42000000000000000,206
71,1986,1695113507.0,122120000000000000,207
71,1987,1695113495.0,12570000000000000,208
71,1988,1695113495.0,49570000000000000,209
71,1989,1695113483.0,215070000000000000,210
71,1990,1695113471.0,310277000000000000,211
71,1991,1695113471.0,49570000000000000,212
71,1992,1695113459.0,304689000000000000,213
71,1993,1695113459.0,179800000000000000,214
71,1994,1695113459.0,461666000000000000,215
71,1995,1695113447.0,85000000000000000,216
71,1996,1695113447.0,249300000000000000,217
71,1997,1695113447.0,49570000000000000,218
71,1998,1695113411.0,10000000000000000,219
71,1999,1695113411.0,20050350000000000,220
71,2000,1695113411.0,76430000000000000,221
71,2001,1695113411.0,214825210000000000,222
71,2002,1695113399.0,152000000000000000,223
71,2003,1695113399.0,74869990000000000,224
71,2004,1695113387.0,75430000000000000,225
71,1943,1695113387.0,52000000000000000,226
71,2005,1695113387.0,78120000000000000,227
71,2006,1695113387.0,458582000000000000,228
71,2007,1695113375.0,10000000000000000,229
71,2008,1695113375.0,20267370000000000,230
71,2009,1695113375.0,460708000000000000,231
71,2010,1695113375.0,31000000000000000,232
71,2011,1695113339.0,15000000000000000,233
71,2012,1695113339.0,68000000000000000,234
72,2013,1695113567.0,197600000000000120,235
72,2014,1695113555.0,129870000000000111,236
72,2015,1695113519.0,109135000000000069,237
72,2016,1695113519.0,1423570000000000047,238
72,2017,1695113507.0,533707000000000026,239
72,2018,1695113459.0,32345000000000006,240
72,2019,1695113411.0,34221000000000020,241
72,2020,1695113375.0,5092000000000001,242
73,2021,1695113375.0,198000000000000000,243
74,1824,1695113567.0,0,244
75,1824,1695113567.0,0,245
76,2022,1695113567.0,0,246
76,2023,1695113507.0,0,247
77,2024,1695113567.0,8443650039667000,248
78,2025,1695113567.0,0,249
79,2026,1695113567.0,690000000000000000,250
80,2027,1695113567.0,7000000000000000,251
81,2028,1695113567.0,685794321190789000,252
82,2029,1695113459.0,0,253
82,2030,1695113411.0,620481270000000000,254
83,2031,1695113567.0,0,255
84,2031,1695113567.0,0,256
85,2032,1695113567.0,8146051113124000,257
86,2033,1695113567.0,1338970000000000,258
87,2034,1695113567.0,0,259
88,1824,1695113567.0,0,260
89,2035,1695113567.0,0,261
90,2036,1695113567.0,0,262
91,2033,1695113567.0,1000000000000000,263
92,2037,1695113567.0,0,264
92,2038,1695113567.0,0,265
92,2039,1695113567.0,10965480000000000,266
92,2040,1695113567.0,0,267
92,2041,1695113567.0,6220000000000000,268
92,2042,1695113567.0,6967500000000000,269
93,2036,1695113567.0,200000000000000000,270
94,2043,1695113555.0,0,271
95,2033,1695113567.0,133843322493452,272
96,2036,1695113567.0,3600000000000000,273
97,1922,1695113567.0,12304313341732613,274
98,2044,1695113567.0,0,275
98,2045,1695113567.0,3658000000000000,276
99,1832,1695113567.0,940000000000000,277
100,1824,1695113567.0,0,278
101,1824,1695113567.0,0,279
102,2046,1695113567.0,986300000000000,280
103,2047,1695113567.0,0,281
104,2048,1695113567.0,170000000000000000,282
105,2046,1695113567.0,774940000000000,283
106,1832,1695113567.0,950000000000000,284
107,2049,1695113567.0,0,285
108,2034,1695113567.0,0,286
109,2050,1695113567.0,22269011453025964,287
110,1903,1695113567.0,0,288
111,2046,1695113567.0,747380000000000,289
112,2046,1695113567.0,505710000000000,290
113,1832,1695113567.0,880000000000000,291
114,2051,1695113567.0,2912325000000000,292
114,2052,1695113567.0,0,293
115,2033,1695113567.0,3000000000000000,294
116,2046,1695113567.0,769810000000000,295
117,2046,1695113567.0,774940000000000,296
118,2035,1695113567.0,0,297
119,2046,1695113567.0,857790000000000,298
120,2046,1695113567.0,945620000000000,299
121,2046,1695113567.0,628120000000000,300
122,2046,1695113567.0,769680000000000,301
123,2046,1695113567.0,857790000000000,302
124,2046,1695113567.0,769680000000000,303
125,2046,1695113567.0,857650000000000,304
126,2046,1695113567.0,769810000000000,305
127,2046,1695113567.0,769810000000000,306
128,2053,1695113567.0,46300000000000000,307
129,2054,1695113567.0,3063250000000000,308
129,2055,1695113543.0,5465020000000000,309
129,2056,1695113447.0,29780990000000000,310
129,2057,1695113399.0,31108000000000000,311
130,1824,1695113567.0,0,312
131,2058,1695113567.0,1277167718000000,313
132,2059,1695113567.0,0,314
133,2060,1695113567.0,0,315
134,2033,1695113567.0,1029000000000000,316
135,2031,1695113567.0,0,317
136,2061,1695113567.0,0,318
137,2062,1695113567.0,0,319
138,2034,1695113567.0,0,320
139,2034,1695113567.0,0,321
140,2063,1695113567.0,56400000000000000,322
141,2064,1695113567.0,0,323
142,2065,1695113567.0,1030193207316926140,324
143,2034,1695113567.0,0,325
144,2034,1695113567.0,0,326
145,2034,1695113567.0,0,327
146,2034,1695113567.0,0,328
147,2066,1695113567.0,0,329
148,2032,1695113567.0,5163928076952000,330
149,2032,1695113567.0,12164501942720000,331
150,2067,1695113567.0,11100000000000000,332
151,2068,1695113567.0,0,333
152,2033,1695113567.0,8000000000000000,334
153,1824,1695113567.0,0,335
154,2069,1695113567.0,0,336
155,2070,1695113567.0,220000000000000,337
156,2071,1695113567.0,561000000000000000,338
157,2032,1695113567.0,13179981257552000,339
158,2072,1695113567.0,0,340
159,2031,1695113567.0,0,341
160,2065,1695113567.0,6972936574386834808,342
161,2032,1695113567.0,5187708129460000,343
162,2073,1695113567.0,18362752685731091,344
163,2074,1695113567.0,0,345
164,2075,1695113567.0,0,346
165,2069,1695113567.0,0,347
166,2069,1695113567.0,0,348
167,2069,1695113567.0,0,349
168,2069,1695113567.0,0,350
169,2069,1695113567.0,0,351
170,2065,1695113567.0,0,352
171,2069,1695113567.0,0,353
172,2069,1695113567.0,0,354
173,2065,1695113567.0,53049862232707296,355
174,2076,1695113567.0,210000000000,356
175,2075,1695113567.0,0,357
176,2069,1695113567.0,0,358
177,2061,1695113567.0,386000000000000,359
178,2077,1695113567.0,0,360
179,2075,1695113567.0,0,361
180,2035,1695113567.0,50000000000000000,362
181,1832,1695113567.0,777000000000000,363
181,2078,1695113543.0,766000000000000,364
182,2079,1695113567.0,29320501833881989,365
183,2080,1695113567.0,0,366
184,2032,1695113567.0,30192051113124000,367
185,2081,1695113567.0,0,368
185,2082,1695113435.0,0,369
186,2035,1695113567.0,0,370
187,2021,1695113567.0,4000000000000000,371
187,2032,1695113423.0,10293541973868000,372
188,2083,1695113567.0,0,373
189,1903,1695113567.0,0,374
190,2084,1695113411.0,0,375
191,2085,1695113567.0,0,376
192,2034,1695113567.0,0,377
193,2086,1695113567.0,175663269457822948,378
194,1922,1695113567.0,508500156719922725,379
195,2087,1695113567.0,10000000000000000,380
196,2088,1695113567.0,0,381
197,2089,1695113567.0,0,382
198,2035,1695113567.0,0,383
198,2031,1695113519.0,0,384
198,2034,1695113435.0,0,385
199,2090,1695113567.0,0,386
200,2091,1695113567.0,33316600000000000,387
201,2032,1695113567.0,5509894155019478,388
202,2031,1695113567.0,0,389
203,2092,1695113567.0,5000000000000000000,390
204,2035,1695113519.0,0,391
205,2035,1695113567.0,0,392
205,2093,1695113555.0,0,393
206,2094,1695113567.0,120000000000000000,394
207,2095,1695113567.0,1387877447123509096,395
208,2096,1695113567.0,0,396
208,2097,1695113519.0,15000000000000000,397
209,2098,1695113567.0,0,398
210,2099,1695113567.0,3000000000000000,399
211,2100,1695113375.0,0,400
212,2101,1695113567.0,18301331421860998,401
213,2102,1695113567.0,110000000000000000,402
214,2103,1695113567.0,7443199843814823,403
215,1817,1695113567.0,0,404
216,2075,1695113567.0,0,405
217,2104,1695113567.0,0,406
218,2105,1695113567.0,182970010000000000,407
219,2106,1695113567.0,0,408
